Welfare Organizations,Account ID
Transparent Hands Trust,2644148095
Edhi Foundation,2162429701
Shaukat Khanum Cancer Hospital,99329240
Chhipa Welfare Association,555881967
Aurat Foundation,2653105632
Shahid Afridi Foundation,2961880449
Ansar Burney Trust, 58819367
Darul Sukun ,7.86451E+17
Minhaj Welfare Foundation,451526419
Aga Khan Foundation,66155110
Al-Khidmat Foundation,1317803029
EHSAS,8.24193E+17
Fatimid Foundation,1.05581E+18
Khushaal Pakistan, 3140042496
Aman Foundation,1008460706
Academy for Educational Development,21700435
ActionAid, 156322365
Al-Khair Foundation,1068452510
Adventist Development and Relief Agency Pakistan,59209825
AFS Intercultural Exchanges,6894742
Himalaya Foundation,57489603
Asian Human Rights Development Organization,250095791
Association for the Development of Pakistan,101550921
Aga Khan Rural Support Programme,7.60357E+17
ACTED,94539935
Bilqees Sarwar Foundation (BSF),7.30358E+17
Braille Without Borders,33933259
Bremen Overseas Research and Development Association,2162110266
CARE Pakistan, 202311586
Caritas Pakistan, 1576950014
Carter Center, 81163402
Childreach International, 95213732
William J. Clinton Foundation, 75069067
Conservation International,19940791
David and Lucile Packard Foundation,2340738308
Environmental Defense, 20068053
Environmental Investigation Agency,44601026
Faiz Foundation for Pakistan, 4095682073
Family Health International,46664272
Fauna and Flora International,16926572
Ford Foundation,336218991
Friedrich Ebert Stiftung,144862179
Friends of Pakistan, 557861759
Friends of the Earth Pakistan,20329672
Green Crescent Trust, 195655578
International Committee of the Red Cross,85289376
International Development Enterprises, 36688694
International Federation of Red Cross and Red Crescent,16025112
International Fund for Animal Welfare,9855132
International Organization for Sustainable Development, 260928758
International Republican Institute,36761621
Islamic Relief,64675777
iDonate (NGO), 560792484
Indus Hospital,3094097517
John D. and Catherine T. MacArthur Foundation,14275261
JDC Welfare Organization, 1227984444
Konrad Adenauer Stiftung, 9880272
Lahore music forum,301465467
MKR Foundation,809318816
Muslim Charity,41838447
Muslim Hands, 49933550
Muslim World League,7.6802E+17
Médecins du Monde,113398253
Médecins Sans Frontières, 2195671183
National Democratic Institute for International Affairs, 15035484
Natural Resources Defense Council,18713552
National Research and Development Foundation (NRDF),366883639
Nazaria-i-Pakistan Trust (NPT),725563296
Pacific Environment,55355799
Pact, 3345755285
Plan International,59560250
Population Services International,160534735
Prevention of Blindness Trust,18693365
Program for Appropriate Technology in Health,44763075
Progressive Education Network,866530784
Project Hope, 18169636
ProLiteracy Worldwide,95990820
Red Crescent Society, 175690948
Rising Sun Institute, 2836458468
Rural Education and Development Foundation, 47732218
South Asia Partnership Pakistan, 217120396
Sarhad Rural Support Programme, 2386327764
Save the Children,20674741
Saylani Welfare International Trust,7.16255E+17
SOS Kinderdorf,19409634
Sustainable Development Policy Institute,288639982
Trust for Democratic Education and Accountability, 2981762809
The Asia Foundation, 66837674
The Citizens Foundation,85781013
The Fred Hollows Foundation,22105502
The Mountain Institute, 52755418
The Nature Conservancy,17596622
The Salvation Army,21393581
The Terma Foundation, 516408370
Volunteers in Asia,183982487
Village Health Organization,17565378
Voluntary Service Overseas,17045958
Wetlands International,44083464
Wheelchair Foundation,85634607
WildAid,43194755
Wildlife Conservation Society, 317187060
Women Media Center,28145061
World Bank/International Monetary Fund,25098482
World Monuments Fund, 33535429
World Vision International,14086764
World Wildlife Fund,16029780
Youth Parliament of Pakistan,615002485
Academy for Educational Development, 2162049181
ActionAid,156322365
AFS Intercultural Exchanges,6894742
All Girls Allowed,149229050
American Bar Association, 72638170
American Friends Service Committee,40323391
AmeriCares Foundation,14705116
ANESVAD (Acción Sanitaria y Desarollo Social),72825965
Animals Asia Foundation, 29169161
Australian Volunteers International, 808919345766289412
Bill and Melinda Gates Foundation,17899109
Blacksmith Institute, 297743867
Blue Moon Fund,19017118
Braille Without Borders,33933259
Bremen Overseas Research and Development Association, 2162110266
Canadian Co-operative Association, 191886048
Caritas Hong Kong, 21288364
Children in Crisis, 72510279
China Care Foundation,2166186625
China Foundation for Poverty Alleviation,9.23613E+17
China Youth Development Foundation, 767214972115914753
Christian Blind Mission International,162741463
Conservation International, 19940791
DKT International,364440482
European Union Chamber of Commerce in China,263963830
Family Health International, 46664272
Forest Stewardship Council,161269393
Friedrich Ebert Stiftung,144862179
Friends of the Earth Hong Kong,238096056
Friends of Nature,8.75974E+17
Global Environmental Institute,8.10751E+17
Global Greengrants Fund, 52405146
Golden Bridges, 29792675
Greenpeace East Asia, 52405146
Green Camel Bell,139952444
Harvard Summit for Young Leaders in China,9.71181E+17
Habitat for Humanity International,33898911
Handicap International (Belgium),16403857
Hanns-Seidel-Foundation,44339015
Health Unlimited,22144310
Heart to Heart International, 29913113
Heifer Project International,18225966
Heinrich Böll Foundation,19336092
Helen Keller International (?????????),358225976
HelpAge International, 42883359
Himalaya Foundation, 57489603
Holt China Children's Services,18219523
Hong Kong YMCA, 309679834
Hope International,19922079
Institute of International Education,52461995
Institute for Sustainable Communities,20703527
International Bridges to Justice,264071723
International Development Enterprises,36688694
International Fund for Animal Welfare, 9855132
International Institute of Rural Reconstruction,38284883
International Republican Institute,36761621
Islamic Relief, 27855248
Kadoorie Farm and Botanic Garden,3589537993
Konrad Adenauer Stiftung,9880272
Korean Federation for Environmental Movement,50494845
Li Ka Shing Foundation, 36574878
Lifeline Express,2602959463
Lions Club,19312262
Marie Stopes International China Programme, 20236206
Médecins du Monde,113398253
Médecins Sans Frontières,2195671183
Mennonite Central Committee,97226830
Mercy Corps International,16688755
Muslim Hands,524275339
National Committee on US-China Relations,70707861
National Democratic Institute for International Affairs,15035484
National Endowment for Democracy,117110840
Natural Resources Defense Council,18713552
New Zealand China Friendship Society,2981978609
NGO2.0, 57862406
Operation Blessing,9268382
Operation Smile,19386403
Opportunity International,94667985
ORBIS International,45913400
OXFAM Hong Kong,11695472
Pacific Regional Environment Programme,282866169
People's Solidarity for Participatory Democracy,9.16374E+17
Princeton-in-Asia, 1851944978
International Federation,16025112
American, 6519522
Australian, 138418895
Hong Kong,948093176
Rockefeller Brothers Fund,132586035
Royal London Society for the Blind, 93672933
Royal Society for Prevention of Cruelty to Animals, 15288851
Save China's Tigers,67064163
Save the Children,14055301
Sea Turtles 911, 170968618
Seva Foundation,22907151
Singapore International Foundation,84013792
Shanghai Young Bakers,
Smile Angel Foundation,292866296
Smile Train,21404068
SOS Kinderdorf,9.50792E+17
Special Olympics East Asia,19598173
Starr Foundation,176523737
The Library Project,825901099
Television Trust for the Environment,64745128
The Asia Foundation,66837674
The Fred Hollows Foundation, 22105502
The International HIV/AIDS Alliance,229046403
The Jane Goodall Institute (Roots & Shoots),39822897
John D. and Catherine T. MacArthur Foundation,14275261
The Mountain Institute,52755418
The Salvation Army, 8839502
The World Conservation Union (IUCN),23638544
Wokai, 14664824
World Monuments Fund, 33535429
Yale-China Association,205048713
Youth For Understanding (YFU China),115009342
Act for Peace—National Council of Churches Australia (NCCA),28009605
Action on Poverty, 373209275
Adventist Development & Relief Agency (ADRA),59209825
Anglican Board of Mission Australia (ABM),491857689
Anglican Overseas Aid,1195684814
Australian Lutheran World Service (ALWS),17988622
Australian Red Cross (ARC),138418895
Brien Holden Vision Institute (BHVI),355207443
Burnet Institute,42589739
CARE Australia, 20960229
Caritas Australia,27811060
CBM Australia, 25471831
ChildFund Australia,165272173
Cufa, 738362199635283968
Engineers Without Borders Australia (EWB),77119289
Every Home Global Concern (EHGC),112686551
